2023-11-05 20:51:23,414 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 1.0 ms
2023-11-05 20:51:23,416 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 1.0 ms
2023-11-05 20:51:23,428 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 12.746 ms
2023-11-05 20:51:23,430 - INFO - Endpoint: /dashboard/project/map | Processing time: 0.0 ms
2023-11-05 20:51:23,443 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 13.797 ms
2023-11-05 20:51:23,461 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 30.199 ms
2023-11-05 20:51:23,477 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 13.998 ms
2023-11-05 20:51:23,491 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 14.312 ms
2023-11-05 20:51:23,508 - INFO - Endpoint: /dashboard/project/map | Processing time: 16.730999999999998 ms
2023-11-05 20:51:23,509 - INFO - Endpoint: /dashboard/project/count | Processing time: 1.0 ms
2023-11-05 20:51:23,510 - INFO - Endpoint: /dashboard/building/count | Processing time: 0.0 ms
2023-11-05 20:51:23,511 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 0.0 ms
2023-11-05 20:51:23,511 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 0.0 ms
2023-11-05 20:51:23,512 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 0.0 ms
2023-11-05 20:51:23,513 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 0.508 ms
2023-11-05 20:51:23,513 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 0.0 ms
2023-11-05 20:51:23,513 - INFO - Endpoint: /dashboard/project/map | Processing time: 0.0 ms
2023-11-05 20:51:23,526 - INFO - Endpoint: /dashboard/project/count | Processing time: 13.178 ms
2023-11-05 20:51:23,537 - INFO - Endpoint: /dashboard/building/count | Processing time: 24.155 ms
2023-11-05 20:51:23,552 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 13.689 ms
2023-11-05 20:51:23,566 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 27.689 ms
2023-11-05 20:51:23,580 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 13.0 ms
2023-11-05 20:51:23,594 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 24.932 ms
2023-11-05 20:51:23,610 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 15.733 ms
2023-11-05 20:51:23,622 - INFO - Endpoint: /dashboard/project/map | Processing time: 26.727999999999998 ms
2023-11-05 20:51:29,101 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:51:29,102 - INFO - Endpoint: /building/additional_sub_info | Processing time: 1.0 ms
2023-11-05 20:51:29,104 - INFO - Endpoint: /dashboard/project/ | Processing time: 1.004 ms
2023-11-05 20:51:29,105 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.9970000000000001 ms
2023-11-05 20:51:29,105 - INFO - Endpoint: /building/additional_sub_info | Processing time: 0.9970000000000001 ms
2023-11-05 20:51:29,139 - INFO - Endpoint: /dashboard/project/ | Processing time: 5.0 ms
2023-11-05 20:51:29,164 - INFO - Endpoint: /dashboard/project | Processing time: 24.044 ms
2023-11-05 20:51:29,168 - INFO - Endpoint: /dashboard/project | Processing time: 3.0 ms
2023-11-05 20:51:29,191 - INFO - Endpoint: /dashboard/project | Processing time: 23.246 ms
2023-11-05 20:51:29,226 - INFO - Endpoint: /dashboard/project | Processing time: 34.957 ms
2023-11-05 20:51:29,227 - INFO - Endpoint: /project/3/project_detail | Processing time: 1.001 ms
2023-11-05 20:51:29,242 - INFO - Endpoint: /project/3/project_detail | Processing time: 13.119 ms
2023-11-05 20:51:29,242 - INFO - Endpoint: /project/3/project_detail | Processing time: 0.0 ms
2023-11-05 20:51:29,257 - INFO - Endpoint: /project/3/project_detail | Processing time: 12.996 ms
